serial_number,common_name,scientific_name,iucn_status,wlpa_schedule,analysed_long-term,analysed_current,long-term_trend_(%),long-term_trend_ci_(%),current_annual_change_(%),current_annual_change_ci_(%),"distribution_range_size_(units_of_10,000_sq._km.)","distribution_range_size_ci_(units_of_10,000_sq._km.)",long_term_status,current_status,distribution_status,status_of_conservation_concern,assessed_primarily_based_on,migratory_status,,flyway
691,Blue-throated Flycatcher,Cyornis rubeculoides,Least Concern,Schedule-IV,X,X,-42.2105301,59.6574022,3.386826005,21.55420847,5.0494669,0.0856,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,local
692,Large Blue Flycatcher,Cyornis magnirostris,Least Concern,Schedule-IV,,,NA,NA,NA,NA,NA,NA,Data Deficient,Data Deficient,Data Deficient,High,Lack of data,Migratory-Long-Distance,,seasia
699,Verditer Flycatcher,Eumyias thalassinus,Least Concern,Schedule-IV,X,X,1.284337806,31.58249918,0.955545011,5.567790484,11.7349202,0.0522,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,local
704,Bluethroat,Luscinia svecica,Least Concern,Schedule-IV,X,X,-30.78167807,31.34653464,1.554945665,8.274098858,56.4738304,0.0895,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local,,ief
711,Siberian Rubythroat,Calliope calliope,Least Concern,Schedule-IV,,X,NA,NA,-14.15661197,12.67169784,4.9652817,0.092,Data Deficient,Moderate Decline,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance,,china
713,Chinese Rubythroat,Calliope tschebaiewi,Least Concern,Schedule-IV,,,NA,NA,NA,NA,0.125,0,Data Deficient,Data Deficient,Very Restricted,High,Range Size,Migratory-Local,,china
726,Ultramarine Flycatcher,Ficedula superciliaris,Least Concern,Schedule-IV,X,X,-31.00748865,36.85065313,-0.933982617,9.330842399,6.7374955,0.0593,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local,,local
727,Rusty-tailed Flycatcher,Ficedula ruficauda,Least Concern,Schedule-IV,X,X,-74.78777703,85.15668954,-10.97549311,41.27207491,1.7892248,0.1978,Uncertain,Uncertain,Restricted,Moderate,Trends & Range Size,Migratory-Local,,local
728,Taiga Flycatcher,Ficedula albicilla,Least Concern,Schedule-IV,,,NA,NA,NA,NA,NA,NA,,,,,Trends & Range Size,Migratory-Long-Distance,,china
729,Kashmir Flycatcher,Ficedula subrubra,Vulnerable,Schedule-IV,,,NA,NA,NA,NA,0.9338504,0.0429,Data Deficient,Data Deficient,Restricted,High,Range Size & IUCN Status,Migratory-Local,,local
